Account Commercial UUID,TERRITORY,TERRITORY_ACTIVATOR
USXXXXX1,IRD_XX1,IRA_XX1IRA_XX2
USXXXXX2,IRD_XX2,IRA_XX2
USXXXXX3,IRD_XX3,IRA_XX3IRA_XX2
USXXXXX4,IRD_XX4,IRA_XX4
USXXXXX5,IRD_XX5,IRA_XX5
USXXXXX6,IRD_XX6,IRA_XX6
USXXXXX7,IRD_XX7,IRA_XX7
USXXXXX8,IRD_XX8,IRA_XX8
USXXXXX9,IRD_XX9,IRA_XX9
USXXXXX10,IRD_XX10,IRA_XX1
USXXXXX11,IRD_XX1,IRA_XX2
USXXXXX12,IRD_XX2,IRA_XX3
USXXXXX13,IRD_XX3,IRA_XX4
USXXXXX14,IRD_XX4,IRA_XX5
USXXXXX15,IRD_XX5,IRA_XX6
USXXXXX16,IRD_XX6,IRA_XX7
USXXXXX17,IRD_XX7,IRA_XX8
USXXXXX18,IRD_XX8,IRA_XX9
USXXXXX19,IRD_XX9,IRA_XX10
